Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,multiple_deliveries,Festival,Time_taken,Travel_Distance,pickup_time,Vehicle_performance_Impact,rush_day
36,4.2,4,4,3,0,46.0,11.6,15.0,12,5
21,4.7,6,3,1,0,23.0,11.1,10.0,8,6
23,4.7,5,2,1,0,21.0,21.8,10.0,6,4
34,4.3,5,1,0,0,20.0,4.7,10.0,4,6
24,4.7,4,4,1,0,41.0,23.6,15.0,6,1
29,4.5,5,4,1,0,20.0,23.6,10.0,6,6
35,4.0,3,3,1,0,33.0,10.0,15.0,6,1
33,4.2,5,4,1,0,40.0,22.6,10.0,12,3
34,4.9,2,4,1,0,41.0,17.9,10.0,4,7
21,4.7,3,4,1,0,15.0,6.6,6.016614612409317,4,1
25,4.1,5,4,2,0,36.0,16.9,5.0,4,3
31,4.7,5,1,0,0,26.0,24.7,15.0,6,3
37,5.0,5,1,1,0,20.0,2.1,15.0,8,4
33,4.3,3,4,1,0,39.0,5.6,15.0,9,7
25,4.0,2,3,1,0,34.0,9.1,5.0,8,6
29,4.5,1,2,1,0,15.0,7.55,6.016614612409317,6,7
27,5.0,6,4,0,0,18.0,6.0,5.0,4,2
35,4.3,2,1,0,0,38.0,15.5,10.0,6,5
32,4.0,3,4,1,0,47.0,17.0,15.0,4,2
23,4.8,3,1,0,0,12.0,21.5,10.0,6,5
31,4.8,5,1,1,0,26.0,7.0,15.0,12,4
36,4.1,6,1,1,0,22.0,9.0,5.0,4,5
26,4.3,5,1,0,0,21.0,12.2,10.0,4,4
38,4.9,2,3,1,0,25.0,9.5,5.0,6,5
32,4.6,2,1,1,0,30.0,26.2,10.0,9,5
33,4.9,1,2,1,0,22.0,17.9,15.0,8,2
20,4.7,3,3,0,0,10.0,8.2,4.011076408272878,6,6
20,4.8,5,1,1,0,19.0,1.6,7.621045175718468,9,2
35,5.0,1,1,1,0,11.0,7.3,10.0,9,4
26,4.9,6,1,0,0,11.0,4.0,4.412184049100166,9,0
22,4.8,4,1,1,0,28.0,12.1,11.231013943164058,8,4
35,4.3,2,2,1,0,33.0,14.2,5.0,8,0
36,4.5,2,2,1,0,33.0,18.9,13.236552147300497,6,2
37,4.7,5,4,3,0,52.0,18.8,5.0,4,1
28,4.6,6,4,1,0,22.0,31.6,15.0,6,2
37,4.9,4,1,1,0,16.0,4.9,6.4177222532366045,6,6
23,4.9,1,4,0,0,11.0,13.2,5.0,6,3
27,4.9,3,2,1,0,25.0,11.4,10.027691020682196,6,5
37,4.8,2,2,1,0,26.0,9.6,10.0,4,2
33,5.0,1,3,1,0,18.0,1.7,10.0,9,6
31,4.9,4,2,1,0,16.0,8.4,5.0,8,6
31,4.8,6,1,1,0,23.0,27.3,10.0,9,4
28,4.8,5,4,1,0,36.0,15.9,10.0,4,1
31,4.7,2,1,0,0,16.0,11.4,15.0,12,5
24,4.7,1,2,0,0,19.0,19.1,7.621045175718468,4,3
39,4.6,1,1,1,0,27.0,18.1,20.0,8,0
32,4.5,3,1,0,0,20.0,1.8,15.0,9,5
25,4.8,5,1,0,0,18.0,28.6,10.0,6,1
33,4.9,1,4,0,0,22.0,6.1,8.824368098200331,9,2
30,4.4,2,1,1,0,34.0,15.2,15.0,9,5
33,5.0,5,1,0,0,24.0,36.3,5.0,4,3
36,4.9,4,2,1,0,17.0,17.4,15.0,9,3
21,4.8,5,1,0,0,14.0,3.9,10.0,6,1
39,4.9,6,4,1,0,30.0,20.6,12.033229224818632,12,2
39,4.6,2,4,1,0,36.0,14.25,5.0,6,3
22,4.7,1,3,1,0,18.0,7.9,5.0,6,4
32,4.6,4,2,0,0,17.0,7.3,15.0,6,1
29,4.6,4,1,0,0,19.0,8.8,7.621045175718468,6,4
26,4.7,4,1,0,0,10.0,17.0,4.011076408272878,8,5
35,4.1,5,4,2,0,37.0,17.15,15.0,8,6
39,4.6,4,4,2,0,44.0,17.3,10.0,6,2
34,4.7,3,3,1,0,28.0,8.1,10.0,6,6
27,4.7,2,4,1,0,42.0,21.5,16.846520914746087,9,4
25,4.4,2,2,1,0,39.0,26.2,5.0,9,7
25,4.7,6,2,0,0,20.0,36.3,5.0,4,7
30,5.0,6,3,1,0,31.0,4.0,5.0,8,4
24,4.6,6,4,0,0,13.0,13.8,10.0,8,3
39,4.8,6,4,0,0,28.0,10.1,15.0,8,3
25,4.8,3,3,1,0,19.0,8.7,5.0,6,2
37,4.6,4,1,2,1,42.0,14.0,15.0,4,4
24,5.0,4,1,1,0,23.0,2.7,5.0,4,1
25,4.2,6,4,1,0,39.0,26.8,15.0,4,2
32,4.6,6,1,1,0,25.0,4.8,10.0,12,4
34,4.7,5,1,0,0,15.0,4.6,6.016614612409317,6,2
