Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_performance_Impact,Festival,multiple_deliveries,pickup_time,Travel_Distance,Time_taken
34,4.9,6,1,8,0,2,5.0,36.25,28.0
39,4.6,3,4,3,0,3,5.0,36.25,35.0
38,4.7,2,4,8,0,2,8.0,13.8,31.0
22,4.8,4,1,12,0,2,15.0,13.5,26.0
31,4.6,3,2,3,0,1,15.0,19.0,37.0
26,4.6,3,4,9,0,2,10.0,16.2,23.0
33,4.2,6,1,3,0,1,10.0,8.7,23.0
24,4.5,5,1,6,0,1,10.0,2.7,13.0
32,5.0,4,3,12,0,2,10.0,5.5,28.0
20,5.0,4,4,9,0,2,5.0,17.4,32.0
25,4.9,3,1,6,0,2,5.0,32.5,16.0
27,4.4,4,1,16,0,1,8.0,17.85,51.5
33,5.0,4,1,6,0,1,5.0,5.6,17.0
34,4.8,1,4,3,0,1,10.0,7.4,29.0
34,4.9,5,4,3,1,2,15.0,28.5,45.0
21,4.6,1,3,6,0,2,10.0,9.1,14.0
33,5.0,4,3,3,0,1,10.0,7.6,26.0
29,4.8,6,1,6,0,1,15.0,16.8,18.0
20,4.9,3,2,3,0,1,5.0,6.6,27.0
35,5.0,4,2,3,0,1,10.0,7.8,26.0
37,4.8,2,1,3,0,1,5.0,14.2,23.0
31,4.6,1,2,3,0,2,15.0,16.6,26.0
32,4.9,3,1,3,0,2,5.0,21.8,25.0
22,4.6,1,3,6,0,2,5.0,7.9,17.0
36,4.8,4,2,9,0,2,5.0,22.6,31.0
21,4.8,3,2,3,0,2,10.0,8.6,15.0
29,4.9,2,4,3,0,2,15.0,16.8,38.0
29,4.3,5,1,3,0,2,5.0,6.1,17.0
29,4.2,2,4,9,0,2,10.0,16.5,32.0
28,4.9,6,1,8,0,1,10.0,4.7,15.0
37,5.0,4,1,3,0,1,15.0,19.6,42.0
24,4.5,5,3,12,0,1,5.0,3.8,25.0
31,4.6,4,1,6,0,2,15.0,2.8,18.0
28,4.1,1,4,3,0,3,5.0,10.9,46.0
37,4.8,2,1,6,0,2,10.0,3.1,17.0
25,4.8,4,3,3,0,2,10.0,7.7,27.0
20,5.0,6,3,6,0,2,15.0,8.8,18.0
30,4.6,5,1,6,0,1,15.0,14.85,17.0
36,4.1,3,4,12,0,2,5.0,13.2,32.0
36,4.6,2,1,9,0,1,10.0,2.7,17.0
24,4.5,4,1,3,0,2,10.0,9.0,19.0
31,4.7,5,3,3,0,3,12.0,9.6,44.0
27,4.8,1,1,3,0,1,10.0,10.2,12.0
38,4.9,1,4,9,0,2,10.0,16.6,30.0
23,4.7,3,4,9,0,2,5.0,21.6,22.0
25,4.2,1,4,3,1,3,10.0,6.6,50.0
21,4.7,3,4,3,0,2,10.0,14.1,35.0
38,4.0,4,4,9,0,2,10.0,27.3,43.0
32,4.7,1,3,12,0,2,12.0,8.1,16.0
32,4.6,1,4,8,0,2,15.0,20.8,19.0
26,4.9,5,4,9,0,2,5.0,11.8,28.0
23,4.3,2,2,12,0,2,5.0,27.3,35.0
23,4.8,5,2,8,0,2,15.0,7.5,29.0
20,4.8,1,4,8,0,1,7.0,16.9,10.0
38,4.6,1,1,3,0,2,15.0,2.1,24.0
31,5.0,1,4,12,0,2,10.0,19.0,16.0
35,5.0,3,1,6,0,2,15.0,10.45,17.0
21,4.6,6,2,9,0,2,5.0,7.1,22.0
36,4.4,5,4,12,0,2,15.0,14.6,31.0
31,4.7,1,1,9,0,1,13.0,4.8,16.0
23,4.8,6,1,6,0,2,5.0,9.9,12.0
28,4.8,2,2,9,0,1,10.0,6.7,17.0
37,4.2,5,2,3,0,3,10.0,24.1,35.0
